367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
367,226,367,226,226,226,226,226,226,367,226,226,226,226,226,226,226,226,226,367
367,226,367,226,367,367,367,367,367,367,226,367,367,367,367,367,367,367,226,367
367,226,367,226,367,226,226,226,226,226,226,226,226,226,226,367,226,367,226,367
367,226,367,226,367,226,367,367,367,367,367,226,367,367,226,367,226,367,226,367
367,226,226,226,367,226,367,226,226,226,367,226,226,367,226,367,226,226,226,367
367,226,367,226,226,226,367,226,367,226,367,226,367,367,367,367,367,367,226,367
367,226,367,226,367,226,367,226,367,226,367,226,226,226,226,226,226,367,226,367
367,226,367,367,367,226,367,226,367,226,367,226,367,367,367,367,226,367,226,367
367,226,226,226,226,226,367,226,367,226,367,226,226,226,226,367,226,367,226,367
367,226,367,367,367,367,367,226,367,367,367,226,367,367,367,367,226,367,226,367
367,226,367,226,226,226,226,226,226,226,226,226,226,367,226,226,226,367,226,367
367,226,367,367,367,367,367,367,367,367,367,367,226,367,367,367,367,367,226,367
367,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,367
367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
